filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
black (121).jpg,Maybelline,Fit Me,5c4433,1.08,Maybelline,Fit Me,5e4638,1.08,Maybelline,Fit Me,6b5041,1.08
black (122).jpg,Maybelline,Fit Me,5c4433,4.94,Maybelline,Fit Me,5e4638,4.94,Make Up For Ever,Ultra HD,644136,4.94
black (123).jpg,Maybelline,Fit Me,5c4433,2.52,Maybelline,Fit Me,5e4638,2.52,Maybelline,Fit Me,6b5041,2.52
black (124).jpg,Maybelline,Fit Me,735642,2.61,Maybelline,Fit Me,6b5041,2.61,Maybelline,Fit Me,7d5c4d,2.61
black (125).jpg,Make Up For Ever,Ultra HD,8e5642,5.62,MAC,Studio Fix,724a32,5.62,Make Up For Ever,Ultra HD,784a42,5.62
black (13).jpg,Maybelline,Fit Me,5c4433,4.94,Maybelline,Fit Me,5e4638,4.94,Make Up For Ever,Ultra HD,644136,4.94
black (14).jpg,Maybelline,Fit Me,735642,2.61,Maybelline,Fit Me,6b5041,2.61,Maybelline,Fit Me,7d5c4d,2.61
black (15).jpg,Make Up For Ever,Ultra HD,d19578,7.13,Make Up For Ever,Ultra HD,c98567,7.13,Make Up For Ever,Ultra HD,d69b81,7.13
black (16).jpg,Make Up For Ever,Ultra HD,784a42,3.2,Make Up For Ever,Ultra HD,644136,3.2,MAC,Studio Fix,724a32,3.2
black (17).jpg,Make Up For Ever,Ultra HD,644136,3.03,Maybelline,Fit Me,5c4433,3.03,Maybelline,Fit Me,5e4638,3.03
black (18).jpg,Maybelline,Fit Me,5e3a23,4.16,Maybelline,Fit Me,643c27,4.16,Make Up For Ever,Ultra HD,644136,4.16
black (19).jpg,Make Up For Ever,Ultra HD,c78569,5.24,MAC,Studio Fix,b9855a,5.24,Make Up For Ever,Ultra HD,b68069,5.24
black (2).jpg,Maybelline,Fit Me,5e4638,1.03,Maybelline,Fit Me,5c4433,1.03,Maybelline,Fit Me,6b5041,1.03
black (20).jpg,L'Oréal,Infalliable,e5ad8b,2.29,L'Oréal,Infalliable,e7ad82,2.29,Make Up For Ever,Ultra HD,e7b391,2.29
